url,page_title,date,химки,красногорск,одинцово,домодедово,подольск,люберцы,балашиха,мытищи,щелково
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40088,Распределение заболевших коронавирусом в городах Московской области,88,4,6,12,1,2,3,3,3,1
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40164,Распределение заболевших коронавирусом в городах Московской области на 30 марта,90,5,8,16,2,2,4,4,6,1
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40332,Распределение больных коронавирусом в городах Московской области на 1 апреля,92,7,9,17,2,2,5,5,6,1
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40453,Распределение заболевших коронавирусом по городам Московской области на 3 апреля,94,11,9,24,3,3,13,8,11,1
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40557,Распределение заболевших коронавирусом по городам Московской области на 4 апреля,95,13,13,29,3,3,18,12,14,1
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40667,В Подмосковье за сутки выявили 82 новых случая заболевания коронавирусом,97,34,21,31,6,7,21,18,20,1
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40739,Распределение заболевших коронавирусом в городах Московской области на 7 апреля,98,34,22,30,9,9,29,20,21,2
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40805,Распределение заболевших коронавирусом в городах Московской области на 8 апреля,99,37,29,30,11,9,34,24,35,4
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-40912,Распределение заболевших коронавирусом в городах Московской области на 9 апреля,100,59,40,33,12,20,51,25,48,4
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41030,Распределение заболевших коронавирусом в городах Московской области на 10 апреля,101,60,47,39,13,20,63,31,51,8
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41080,Распределение заболевших коронавирусом в городах Московской области на 11 апреля,102,71,66,48,13,26,92,33,55,9
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41105,Распределение заболевших коронавирусом в городах Московской области на 12 апреля,103,80,88,76,13,29,106,33,76,10
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41251,Распределение заболевших коронавирусом в городах Московской области на 14 апреля,105,114,134,118,22,70,148,54,133,19
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41261,"Люберцы, Мытищи и Красногорск — лидеры антирейтинга по коронавирусу",105,114,134,118,22,70,148,54,133,19
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41339,Распределение заболевших коронавирусом в городах Московской области на 15 апреля,106,133,135,139,29,77,167,63,145,27
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41352,"В Одинцове, Люберцах и Химках коронавирус распространяется быстрее всего",106,133,135,139,29,77,167,63,145,27
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41426,Распределение заболевших COVID‑19 в городах Подмосковья на 16 апреля,107,141,160,192,39,87,172,70,156,35
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41529,Распределение заболевших коронавирусом в городах Московской области на 17 апреля,108,147,173,242,42,97,184,91,182,54
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41600,Распределение заболевших коронавирусом в городах Московской области на 18 апреля,109,177,204,252,49,101,201,105,213,63
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41623,Распределение заболевших коронавирусом в городах Московской области на 19 апреля,110,200,228,288,61,130,285,137,242,74
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41685,Распределение заболевших коронавирусом в городах Московской области на 20 апреля,111,219,266,313,74,158,329,154,259,88
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41799,Распределение заболевших коронавирусом в городах Московской области на 21 апреля,112,240,291,386,86,182,352,168,302,101
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41912,Распределение заболевших коронавирусом в городах Московской области на 22 апреля,113,257,301,395,97,201,381,209,321,112
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-41995,Распределение заболевших коронавирусом в городах Московской области на 23 апреля,114,276,352,471,108,232,436,220,341,121
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-42091,Распределение заболевших коронавирусом в городах Московской области на 24 апреля,115,314,395,545,114,258,482,248,361,122
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-42129,Распределение заболевших коронавирусом в городах Московской области на 25 апреля,116,329,431,597,121,304,523,297,386,138
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-42159,Распределение заболевших корановирусом в городах Московской области на 26 апреля,117,336,461,626,144,332,557,335,391,151
https://radio1.news/article/raspredelenie-zabolevshih-koronavirusom-v-gorodah-moskovskoj-oblasti-42226,Распределение заболевших коронавирусом в городах Московской области на 27 апреля,118,346,476,656,158,347,574,372,432,156
